Query,Answer
"What are the treatments for Alzheimer's Disease ?","Medications Can Treat Symptoms There is no known cure for Alzheimer's disease, but there are medicines that can treat symptoms of the disease. Most Alzheimers medicines work best for people in the mild or moderate stages of the disease. For example, they can keep memory loss from getting worse for a time. Other medicines may help behavioral symptoms, such as trouble sleeping or feeling worried or depressed. All of these medicines may have side effects and may not work for everyone. A person with Alzheimer's should be under a doctor's care. He or she may see a primary care doctor or a specialist, such as a neurologist, geriatric psychiatrist, or geriatrician. The doctor can treat the person's physical and behavioral problems, answer questions, and refer the patient and caregiver to other sources of help. Medications for Alzheimers Currently, no treatment can stop Alzheimer's disease. However, four medications are used to treat its symptoms. These medicines may help maintain thinking, memory, and speaking skills for a limited time. They work by regulating certain chemicals in the brain. Most of these medicines work best for people in the early or middle stages of the disease. For people with mild to moderate Alzheimers, donepezil (Aricept), rivastigmine (Exelon), or galantamine (Razadyne) may help. Donepezil is also approved to treat symptoms of moderate to severe Alzheimer's. Another drug, memantine (Namenda), is used to treat symptoms of moderate to severe Alzheimers, although it also has limited effects. All of these medicines have possible side effects, including nausea, vomiting, diarrhea, and loss of appetite. You should report any unusual symptoms to a doctor right away. It is important to follow a doctor's instructions when taking any medication. Scientists are testing many new drugs and other treatments to see if they can help slow, delay, or prevent Alzheimers disease. Learn how Alzheimers medications work, how to take them, and where to find more information.  Managing Behavioral Symptoms Certain medicines and other approaches can help control the behavioral symptoms of Alzheimer's disease. These symptoms include sleeplessness, agitation, wandering, anxiety, anger, and depression. Treating these symptoms often makes people with Alzheimers disease more comfortable and makes their care easier for caregivers. See more about medications used to treat behavioral symptoms. Some medicines must be used with caution. Memory Aids Memory aids may help some people who have mild Alzheimers disease with day-to-day living. A calendar, list of daily plans, notes about simple safety measures, and written directions describing how to use common household items can be useful. Help for Caregivers Caring for a person with Alzheimers can have high physical, emotional, and financial costs. The demands of day-to-day care, changing family roles, and difficult decisions about placement in a care facility can be difficult. Sometimes, taking care of the person with Alzheimers makes caregivers feel good because they are providing love and comfort. At other times, it can be overwhelming. Changes in the person can be hard to understand and cope with. Here are some ways for caregivers of people with Alzheimers to get help. - Ask family and friends to help out in specific ways, like making a meal or visiting the person while they take a break.  - Join a caregivers support group.  - Use home health care, adult day care, and respite services. Ask family and friends to help out in specific ways, like making a meal or visiting the person while they take a break. Join a caregivers support group. Use home health care, adult day care, and respite services. For more information about caring for someone with Alzheimers disease, see  Alzheimer's Caregiving."
"what research (or clinical trials) is being done for Alzheimer's Disease ?","Research supported by the National Institutes of Health (NIH) and other organizations has expanded knowledge of brain function in healthy older people, identified ways that may lessen age-related cognitive decline, and deepened our understanding of Alzheimers. Many scientists and physicians are working together to untangle the genetic, biological, and environmental factors that might cause Alzheimers disease. This effort is bringing us closer to better managing and, ultimately, better treating and preventing this devastating disease. Types of Research Different types of researchbasic, translational, and clinical researchare conducted to better understand Alzheimers and find ways to treat, delay, or prevent the disease. - Basic research helps scientists gain new knowledge about a disease process, including how and why it starts and progresses.   - Translational research grows out of basic research. It creates new medicines, devices, or behavioral interventions aimed at preventing, diagnosing, or treating a disease.  - Clinical research is medical research involving people. It includes clinical studies, which observe and gather information about large groups of people. It also includes clinical trials, which test a medicine, therapy, medical device, or other intervention in people to see if it is safe and effective. Basic research helps scientists gain new knowledge about a disease process, including how and why it starts and progresses. Translational research grows out of basic research. It creates new medicines, devices, or behavioral interventions aimed at preventing, diagnosing, or treating a disease. Clinical research is medical research involving people. It includes clinical studies, which observe and gather information about large groups of people. It also includes clinical trials, which test a medicine, therapy, medical device, or other intervention in people to see if it is safe and effective.  See the latest Alzheimers Disease Progress Report to read about results of NIA-supported Alzheimers research. Basic Research Basic research seeks to identify the cellular, molecular, and genetic processes that lead to Alzheimers disease. Basic research has focused on two of the main signs of Alzheimers disease in the brain: plaques and tangles. Plaques are made of a protein called beta-amyloid and form abnormal clumps outside nerve cells in the brain. Tangles are made from a protein called tau and form twisted bundles of fibers within nerve cells in the brain. Scientists are studying how plaques and tangles damage nerve cells in the brain. They can see beta-amyloid plaques and tau tangles by making images of the brains of living people. Such imaging has led to clinical trials that are looking at ways to remove beta-amyloid from the human brain or halt its production before more brain damage occurs. Scientists are also exploring the very earliest brain changes in the disease process. Findings will help them better understand the causes of Alzheimers. As they learn more, they are likely to come up with better targets for further research. Over time, this might lead to more effective therapies to delay or prevent the disease. Genetics is another important area of basic research. Discovering more about the role of genes that increase or decrease the risk of developing Alzheimers will help researchers answers questions such as What makes the disease process begin? and Why do some people with memory and other thinking problems develop Alzheimers disease while others do not? Genetics research helps scientists learn how risk-factor genes interact with other genes and lifestyle or environmental factors to affect Alzheimers risk. This research also helps identify people who are at high risk for developing Alzheimers and can participate in clinical research on new prevention and treatment approaches. Translational Research Translational research allows new knowledge from basic research to be applied to a clinical research setting. An important goal of Alzheimers translational research is to increase the number and variety of potential new medicines and other interventions that are approved for testing in humans. Scientists also examine medicines approved to treat other diseases to see they might be effective in people with Alzheimers. The most promising interventions are tested in test-tube and animal studies to make sure they are safe and effective. Currently, a number of different substances are under development that may one day be used to treat or prevent the symptoms of Alzheimers disease and mild cognitive impairment. Clinical Research Clinical research is medical research involving people. It includes clinical studies, which observe and gather information about large groups of people. It also includes clinical trials, which test medicines, therapies, medical devices, or other interventions in people to see if they are safe and effective. Clinical trials are the best way to find out whether a particular intervention actually slows, delays, or prevents Alzheimers disease. Trials may compare a potential new treatment with a standard treatment or placebo (mock treatment). Or, they may study whether a certain behavior or condition affects the progress of Alzheimers or the chances of developing it. NIH, drug companies, and other research organizations are conducting many clinical trials to test possible new treatments that may - improve memory, thinking, and reasoning skills in people with Alzheimers or mild cognitive impairment  - relieve the behavior problems of Alzheimers, such as aggression and agitation  - delay the progression from mild cognitive impairment (MCI) to Alzheimers   - prevent Alzheimers disease. improve memory, thinking, and reasoning skills in people with Alzheimers or mild cognitive impairment relieve the behavior problems of Alzheimers, such as aggression and agitation delay the progression from mild cognitive impairment (MCI) to Alzheimers prevent Alzheimers disease. A wide variety of interventions are being tested in clinical trials. They include experimental drugs as well as non-drug approaches."
"What is Leukemia ?","Leukemia is a cancer of the blood cells. It is the most common type of blood cancer and affects 10 times as many adults as children. Most people diagnosed with leukemia are over 50 years old. Leukemia Starts in Bone Marrow Leukemia usually begins in the bone marrow, the soft material in the center of most bones where blood cells are formed. The bone marrow makes three types of blood cells, and each type has a special function. - White blood cells fight infection and disease.  - Red blood cells carry oxygen throughout the body.  - Platelets help control bleeding by forming blood clots. White blood cells fight infection and disease. Red blood cells carry oxygen throughout the body. Platelets help control bleeding by forming blood clots. In people with leukemia, the bone marrow produces abnormal white blood cells, called leukemia cells. At first, leukemia cells function almost normally. But over time, as more leukemia cells are produced, they may crowd out the healthy white blood cells, red blood cells, and platelets. This makes it difficult for the blood to carry out its normal functions. There are four common types of adult leukemia. Two are chronic, meaning they get worse over a longer period of time. The other two are acute, meaning they get worse quickly. - chronic lymphocytic leukemia  - chronic myeloid leukemia  - acute myeloid leukemia  - acute lymphocytic leukemia chronic lymphocytic leukemia chronic myeloid leukemia acute myeloid leukemia acute lymphocytic leukemia Chronic and Acute Leukemia Chronic lymphocytic leukemia, chronic myeloid leukemia, and acute myeloid leukemia are diagnosed more often in older adults. Of these, chronic lymphocytic leukemia is the most common. Acute lymphocytic leukemia is found more often in children. The symptoms for each type of leukemia differ but may include fevers, frequent infections, fatigue, swollen lymph nodes, weight loss, and bleeding and bruising easily. However, such symptoms are not sure signs of leukemia. An infection or another problem also could cause these symptoms. Only a doctor can diagnose and treat the problem. (Watch the video to learn how the rates of leukemia diagnosis vary by age. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)  Learn more about chronic lymphocytic leukemia.  Learn more about acute myeloid leukemia.  Other Cancers That Affect Blood Cells Myeloma and lymphoma are other types of cancer that affect blood cells, but these cancer cells are rarely found in the blood stream. Myeloma is the second most common form of blood cancer, and it affects plasma cells, a type of white blood cell that is found in the bone marrow. Lymphoma accounts for about five percent of all the types of cancer in the United States. It starts in the lymphatic system, which is part of the body's immune system. Both myeloma and lymphoma are more common among older adults and occur more often in men than women.  Learn more about myeloma.  Many Treatments Are Available There are many methods available to treat acute and chronic leukemia, and there are many new treatments being developed that are rapidly changing how numerous types of leukemia are treated. The types of treatments depend on the specific disease and how best to treat it. Some people receive a combination of treatments. Acute leukemia usually needs to be treated right away. But there are many different kinds of acute leukemia. Some respond well to treatment and can be cured in some cases, while others are more difficult to treat. Treatment for chronic leukemia can often control the disease and its symptoms and there are new treatments being developed that may prolong survival. Also, there are several treatments now available for chronic myeloid leukemia that can control the disease for a long time."
"Who is at risk for Leukemia? ?","In many cases, no one knows why some people develop leukemia and others do not. However, scientists have identified some risk factors for the disease. A risk factor is anything that increases a person's chances of developing a disease. Most people who have known risk factors do not get leukemia, while many who do get the disease have none of these risk factors. Risk Factors Studies have identified the following risk factors for leukemia. - older age  -  male  - white  - working with certain chemicals  -  smoking  - exposure to very high levels of radiation  - certain health conditions  -  past treatment with chemotherapy or radiation therapy.  older age male white working with certain chemicals smoking exposure to very high levels of radiation certain health conditions past treatment with chemotherapy or radiation therapy. More than 65 percent of people diagnosed with leukemia are over 55. Disorders and Genetic Diseases Certain disorders and genetic diseases, such as Down syndrome, may increase the risk of leukemia. About 3 out of 10 people with a blood disorder known as myelodysplastic syndrome develop acute myeloid leukemia. In this disorder, as in leukemia, abnormal cells are formed in the bone marrow and too few healthy blood cells enter the bloodstream. Radiation Exposure People exposed to very high levels of radiation, such as the atomic bomb blast in Hiroshima, Japan or nuclear power plant accidents, also are at risk of developing leukemia. Studies of atomic blasts have estimated that survivors have a five and a half times greater risk of developing leukemia than the general public. Cancer Treatments Chemotherapy and radiation therapy have been helpful to a lot of people in the treatment of many forms of cancer, and indeed are often lifesaving. However, these therapies have been linked to the development of second cancers, including leukemia, many years after treatment, particularly in people who received intensive therapy early in their lives. Chemotherapy for a first cancer is a stronger risk factor for developing leukemia later than is radiation therapy. The combination of chemotherapy and radiation can significantly increase the risk of leukemia after a first cancer. Powerful cancer-fighting chemotherapy drugs, known as alkylating agents and epipodophyllotoxins, have been associated with leukemia. The dose given and length of treatment as well as other factors may contribute to a person's risk of developing leukemia. Acute myeloid leukemia is the most common type of cancer that has been linked to chemotherapy treatment. Radiation therapy may increase a person's chance of developing leukemia. Several factors influence this risk, such as the dose of radiation administered. A person's age at the time of therapy does not seem to be a risk factor for leukemia. Recently, researchers have gained a much greater understanding of the risk of second cancers due to earlier treatment exposures. They have been able to limit the effective doses given in primary cases so as to reduce the risk of a recurrence or second cancer."
"What are the symptoms of Leukemia ?","During the early stages of leukemia, there may be no symptoms. Many of the symptoms of leukemia don't become apparent until a large number of normal blood cells are crowded out by leukemia cells. Symptoms of Chronic and Acute Leukemia In chronic leukemia, symptoms develop gradually and, in the beginning, are generally not as severe as in acute leukemia. Chronic leukemia is usually found during a routine doctor's exam before symptoms are present. When symptoms appear, they generally are mild at first and gradually get worse, but sometimes they don't worsen until many years after an initial diagnosis. Recently, researchers discovered that abnormal white blood cells can be present in the blood of chronic lymphocytic leukemia patients a number of years before a diagnosis. This finding may lead to a better understanding of the cellular changes that occur in the earliest stages of the disease and how the disease progresses. In acute leukemia, symptoms usually appear and get worse quickly. People with this disease usually go to their doctor because they feel sick. White Blood Cell Levels May Be High People with leukemia may have very high levels of white blood cells, but because the cells are abnormal, they are unable to fight infection. Therefore, patients may develop frequent fevers or infections. A shortage of red blood cells, called anemia, can cause a person to feel tired. Not having enough blood platelets may cause a person to bleed and bruise easily. Some symptoms depend on where leukemia cells collect in the body. Leukemia cells can collect in many different tissues and organs, such as the digestive tract, kidneys, lungs, lymph nodes, or other parts of the body, including the eyes, brain, and testicles. Other Common Symptoms Other common symptoms of leukemia include headache, weight loss, pain in the bones or joints, swelling or discomfort in the abdomen (from an enlarged spleen), and swollen lymph nodes, especially in the neck or armpit. Symptoms of acute leukemia may include vomiting, confusion, loss of muscle control, and seizures. Some of the symptoms of leukemia are similar to those caused by the flu or other common diseases, so these symptoms are not sure signs of leukemia. It is important to check with your doctor if you have these symptoms. Only a doctor can diagnose and treat leukemia. Diagnosing Leukemia: Physical Exam, Blood Tests, Biopsy To find the cause of leukemia symptoms, the doctor will ask about medical history and conduct a physical exam. During the exam, the doctor will check for signs of disease such as lumps, swelling in the lymph nodes, spleen, and liver, or anything else that seems unusual. The doctor will need to do blood tests that check the levels and types of blood cells and look for changes in the shape of blood cells. The doctor also may look at certain factors in the blood to see if leukemia has affected other organs such as the liver or kidneys. Even if blood tests suggest leukemia, the doctor may look for signs of leukemia in the bone marrow by doing a biopsy before making a diagnosis. A biopsy is a procedure where a small amount of bone marrow is removed from a bone. A pathologist examines the sample under a microscope to look for abnormal cells. There are two ways the doctor can obtain bone marrow. In a bone marrow aspiration, marrow is collected by inserting a needle into the hipbone or another large bone and removing a small amount of bone marrow. A bone marrow biopsy is performed with a larger needle and removes bone marrow and a small piece of bone. If Leukemia Cells Are Found If leukemia cells are found in the bone marrow sample, the doctor may perform more tests to determine if the disease has spread to other parts of the body. The doctor may collect a sample of the fluid around the brain and spinal cord by performing a spinal tap and checking for leukemia cells or other signs of problems. Computed tomography (CT) scans, and ultrasounds are tests used to determine if leukemia has spread from the bone marrow. These tests produce pictures of the inside of the body. With these tests, the doctor looks for abnormalities such as enlarged organs or signs of infection."
"What are the treatments for Leukemia ?","There are many treatment options for people with leukemia. The choice of treatment depends on your age and general health, the type of leukemia you have, whether or not it has spread outside the bone marrow, and other factors. If tests show that you have leukemia, you should talk with your doctor and make treatment decisions as soon as possible, although many patients with chronic lymphocytic leukemia do not require treatment for many years. Working With a Team of Specialists A team of specialists often treats people with leukemia. The team will keep the primary doctor informed about the patient's progress. The team may include a hematologist who is a specialist in blood and blood-forming tissues, a medical oncologist who is a specialist in cancer treatment, and a radiation oncologist who is a specialist in radiation therapy. Before starting treatment, you may want another doctor to review the diagnosis and treatment plan. Some insurance companies require a second opinion. Others may pay for a second opinion if you or your doctor requests it. Clinical Trials for Leukemia Some leukemia patients take part in studies of new treatments. These studies, called clinical trials, are designed to find out whether a new treatment is safe and effective and better than current treatments. Talk to your doctor if you are interested in taking part in a clinical trial. The U.S. National Institutes of Health, through its National Library of Medicine and other Institutes, maintains a database of clinical trials at ClinicalTrials.gov. Click here to search for current clinical trials on leukemia."
"what research (or clinical trials) is being done for Leukemia ?","Researchers are conducting clinical trials in many parts of the country. Clinical trials test an intervention such as a drug, therapy, medical device, or behavior in many people to see if it is safe and effective. Clinical trials already have led to advances, and researchers continue to search for more effective ways to treat and diagnose leukemia. They are studying various drugs, immunotherapy, targeted therapies, and other types of treatments. They are also studying the effectiveness of using combinations of treatments. Most importantly, researchers are gaining a greater understanding of the genes that are mutated in many types of leukemia and are developing targeted treatments to directly attack the mutations. One prime example is in acute myeloid leukemia (AML) where researchers have identified several genes that predict better or worse outcomes and are working to develop drugs targeted at these genes. Drug Research The drug imatinib (Gleevec) is important in the treatment of chronic myeloid leukemia. Imatinib targets an abnormal protein that is present in most leukemia cells. By blocking the abnormal protein, imatinib kills the leukemia cells, but it does not kill normal cells. However, imatinib stops working in some people with leukemia because the cells become resistant. Fortunately, two drugs, dasatinib (Sprycel) and nilotinib (Tasigna), are now used to treat people who stop responding to imatinib. These drugs work against the same abnormal protein targeted by imatinib, but in different ways. Immunotherapy Immunotherapy is a treatment that uses immune cells or antibodies to fight leukemia or stop it from getting worse. The idea is to zero in on leukemia cells so the treatment is less toxic to normal cells. Recently developed immunotherapies are showing real promise in a number of forms of leukemia. Vaccine Research Leukemia vaccines are not vaccines in the way that most people think of them. Unlike most vaccines, which help prevent diseases, leukemia vaccines are used to treat someone who already has cancer. A vaccine introduces a molecule called an antigen into the body. The immune system recognizes the antigen as a foreign invader and attacks it. Gene Therapy Gene therapy -- replacing, manipulating, or supplementing nonfunctional genes with healthy genes -- is being explored for treatment of leukemia. It is being studied as a way to stimulate a patient's immune system to kill leukemia cells and also to interfere with the production of proteins that cause cells to become cancerous. Learn more about ongoing leukemia research."
"What is Stroke ?","A Serious Event A stroke is serious, just like a heart attack. Each year in the United States, approximately 795,000 people have a stroke. About 610,000 of these are first or new strokes. On average, one American dies from stroke every four minutes. Stroke is the fourth leading cause of death in the United States, and causes more serious long-term disabilities than any other disease. Nearly three-quarters of all strokes occur in people over the age of 65. And the risk of having a stroke more than doubles each decade between the ages of 55 and 85. Stroke occurs in all age groups, in both sexes, and in all races in every country. It can even occur before birth, when the fetus is still in the womb. Learning about stroke can help you act in time to save a relative, neighbor, or friend. And making changes in your lifestyle can help you prevent stroke. What Is Stroke? A stroke is sometimes called a "brain attack." Most often, stroke occurs when blood flow to the brain stops because it is blocked by a clot. When this happens, the brain cells in the immediate area begin to die. Some brain cells die because they stop getting the oxygen and nutrients they need to function. Other brain cells die because they are damaged by sudden bleeding into or around the brain. The brain cells that don't die immediately remain at risk for death. These cells can linger in a compromised or weakened state for several hours. With timely treatment, these cells can be saved. New treatments are available that greatly reduce the damage caused by a stroke. But you need to arrive at the hospital as soon as possible after symptoms start to prevent disability and to greatly improve your chances for recovery. Knowing stroke symptoms, calling 911 immediately, and getting to a hospital as quickly as possible are critical. Ischemic Stroke There are two kinds of stroke. The most common kind of stroke is called ischemic stroke. It accounts for approximately 80 percent of all strokes. An ischemic stroke is caused by a blood clot that blocks or plugs a blood vessel supplying blood to the brain. Blockages that cause ischemic strokes stem from three conditions: - the formation of a clot within a blood vessel of the brain or neck, called thrombosis  - the movement of a clot from another part of the body, such as from the heart to the neck or brain, called an embolism  - a severe narrowing of an artery (stenosis) in or leading to the brain, due to fatty deposits lining the blood vessel walls. the formation of a clot within a blood vessel of the brain or neck, called thrombosis the movement of a clot from another part of the body, such as from the heart to the neck or brain, called an embolism a severe narrowing of an artery (stenosis) in or leading to the brain, due to fatty deposits lining the blood vessel walls. Hemorrhagic Stroke The other kind of stroke is called hemorrhagic stroke. A hemorrhagic stroke is caused by a blood vessel that breaks and bleeds into the brain. One common cause of a hemorrhagic stroke is a bleeding aneurysm. An aneurysm is a weak or thin spot on an artery wall. Over time, these weak spots stretch or balloon out due to high blood pressure. The thin walls of these ballooning aneurysms can rupture and spill blood into the space surrounding brain cells. Artery walls can also break open because they become encrusted, or covered with fatty deposits called plaque, eventually lose their elasticity and become brittle, thin, and prone to cracking. Hypertension, or high blood pressure, increases the risk that a brittle artery wall will give way and release blood into the surrounding brain tissue."
"What are the symptoms of Stroke ?","Know the Signs Knowing the warning signs of stroke and controlling stroke's risk factors can lower your risk of death or disability. If you suffer a stroke, you may not realize it at first. The people around you might not know it, either. Your family, friends, or neighbors may think you are unaware or confused. You may not be able to call 911 on your own. That's why everyone should know the signs of stroke and know how to act fast. Warning signs are clues your body sends to tell you that your brain is not receiving enough oxygen. If you observe one or more of the following signs of a stroke or "brain attack," don't wait. Call 911 right away! Common Signs of Stroke These are warning signs of a stroke: - sudden numbness or weakness of the face, arm, or leg, especially on one side of the body  - sudden confusion, trouble speaking or understanding  - sudden trouble seeing in one or both eyes  - sudden trouble walking, dizziness, loss of balance or coordination  - sudden severe headache with no known cause. sudden numbness or weakness of the face, arm, or leg, especially on one side of the body sudden confusion, trouble speaking or understanding sudden trouble seeing in one or both eyes sudden trouble walking, dizziness, loss of balance or coordination sudden severe headache with no known cause. Other danger signs that may occur include double vision, drowsiness, and nausea or vomiting. Don't Ignore "Mini-Strokes" Sometimes the warning signs of stroke may last only a few moments and then disappear. These brief episodes, known as transient ischemic attacks or TIAs, are sometimes called "mini-strokes." Although brief, TIAs identify an underlying serious condition that isn't going away without medical help. Unfortunately, since they clear up, many people ignore them. Don't ignore them. Heeding them can save your life. Why It's Important To Act Fast Stroke is a medical emergency. Every minute counts when someone is having a stroke. The longer blood flow is cut off to the brain, the greater the damage. Immediate treatment can save peoples lives and enhance their chances for successful recovery. Ischemic strokes, the most common type of strokes, can be treated with a drug called t-PA that dissolves blood clots obstructing blood flow to the brain. The window of opportunity to start treating stroke patients is three hours, but to be evaluated and receive treatment, patients need to get to the hospital within 60 minutes. What Should You Do? Don't wait for the symptoms of stroke to improve or worsen. If you believe you are having a stroke, call 911 immediately. Making the decision to call for medical help can make the difference in avoiding a lifelong disability and in greatly improving your chances for recovery. If you observe someone having a stroke  if he or she suddenly loses the ability to speak, or move an arm or leg on one side, or experiences facial paralysis on one side  call 911 immediately."
"Who is at risk for Stroke? ?","A risk factor is a condition or behavior that increases your chances of getting a disease. Having a risk factor for stroke doesn't mean you'll have a stroke. On the other hand, not having a risk factor doesn't mean you'll avoid a stroke. But your risk of stroke grows as the number and severity of risk factors increase. These risk factors for stroke cannot be changed by medical treatment or lifestyle changes. - Age. Although stroke risk increases with age, stroke can occur at any age. Recent studies have found that stroke rates among people under 55 grew from 13 percent in 1993-1994, to 19 percent in 2005. Experts speculate the increase may be due to a rise in risk factors such as diabetes, obesity, and high cholesterol. Age. Although stroke risk increases with age, stroke can occur at any age. Recent studies have found that stroke rates among people under 55 grew from 13 percent in 1993-1994, to 19 percent in 2005. Experts speculate the increase may be due to a rise in risk factors such as diabetes, obesity, and high cholesterol. - Gender.  Men have a higher risk for stroke, but more women die from stroke. Gender.  Men have a higher risk for stroke, but more women die from stroke. - Race. People from certain ethnic groups have a higher risk of stroke. For African Americans, stroke is more common and more deadly  even in young and middle-aged adults  than for any ethnic or other racial group in the U.S. Studies show that the age-adjusted incidence of stroke is about twice as high in African Americans and Hispanic Americans as in Caucasians. An important risk factor for African Americans is sickle cell disease, which can cause a narrowing of arteries and disrupt blood flow. Race. People from certain ethnic groups have a higher risk of stroke. For African Americans, stroke is more common and more deadly  even in young and middle-aged adults  than for any ethnic or other racial group in the U.S. Studies show that the age-adjusted incidence of stroke is about twice as high in African Americans and Hispanic Americans as in Caucasians. An important risk factor for African Americans is sickle cell disease, which can cause a narrowing of arteries and disrupt blood flow. - Family history of stroke. Stroke seems to run in some families. Several factors may contribute to familial stroke. Members of a family might have a genetic tendency for stroke risk factors, such as an inherited predisposition for high blood pressure (hypertension) or diabetes. The influence of a common lifestyle among family members could also contribute to familial stroke. Family history of stroke. Stroke seems to run in some families. Several factors may contribute to familial stroke. Members of a family might have a genetic tendency for stroke risk factors, such as an inherited predisposition for high blood pressure (hypertension) or diabetes. The influence of a common lifestyle among family members could also contribute to familial stroke. Some of the most important risk factors for stroke that CAN be treated are - high blood pressure  - smoking  - heart disease  -  high blood cholesterol  - warning signs or history of a stroke  - diabetes. high blood pressure smoking heart disease high blood cholesterol warning signs or history of a stroke diabetes. High Blood Pressure High blood pressure, also called hypertension, is by far the most potent risk factor for stroke. If your blood pressure is high, you and your doctor need to work out an individual strategy to bring it down to the normal range. Here are some ways to reduce blood pressure: - Maintain proper weight.  - Avoid drugs known to raise blood pressure.  - Cut down on salt.  - Eat fruits and vegetables to increase potassium in your diet.  - Exercise more. Maintain proper weight. Avoid drugs known to raise blood pressure. Cut down on salt. Eat fruits and vegetables to increase potassium in your diet. Exercise more. Your doctor may prescribe medicines that help lower blood pressure. Controlling blood pressure will also help you avoid heart disease, diabetes, and kidney failure. Smoking Cigarette smoking has been linked to the buildup of fatty substances in the carotid artery, the main neck artery supplying blood to the brain. Blockage of this artery is the leading cause of stroke in Americans. Also, nicotine raises blood pressure, carbon monoxide reduces the amount of oxygen your blood can carry to the brain, and cigarette smoke makes your blood thicker and more likely to clot. Your doctor can recommend programs and medications that may help you quit smoking. By quitting -- at any age -- you also reduce your risk of lung disease, heart disease, and a number of cancers including lung cancer. Heart Disease Heart disease, including common heart disorders such as coronary artery disease, valve defects, irregular heart beat, and enlargement of one of the heart's chambers, can result in blood clots that may break loose and block vessels in or leading to the brain. The most common blood vessel disease, caused by the buildup of fatty deposits in the arteries, is called atherosclerosis, also known as hardening of the arteries. Your doctor will treat your heart disease and may also prescribe medication, such as aspirin, to help prevent the formation of clots. Your doctor may recommend surgery to clean out a clogged neck artery if you match a particular risk profile. High Blood Cholesterol A high level of total cholesterol in the blood is a major risk factor for heart disease, which raises your risk of stroke. Your doctor may recommend changes in your diet or medicines to lower your cholesterol. Warning Signs or History of Stroke Experiencing warning signs and having a history of stroke are also risk factors for stroke. Transient ischemic attacks, or TIAs, are brief episodes of stroke warning signs that may last only a few moments and then go away. If you experience a TIA, get help at once. Call 911. If you have had a stroke in the past, it's important to reduce your risk of a second stroke. Your brain helps you recover from a stroke by drawing on body systems that now do double duty. That means a second stroke can be twice as bad. Diabetes Having diabetes is another risk factor for stroke. You may think this disorder affects only the body's ability to use sugar, or glucose. But it also causes destructive changes in the blood vessels throughout the body, including the brain. Also, if blood glucose levels are high at the time of a stroke, then brain damage is usually more severe and extensive than when blood glucose is well-controlled. Treating diabetes can delay the onset of complications that increase the risk of stroke."
